event,year,top_1,top_8,top_16,top_24,ncaa_qual,a_slope,b_slope,c_slope,a_int,b_int,c_int
100 BR,2027,51.02,52.24,52.99,53.61,51.69,-8.196721311,-12,-12.90322581,450.1967213,646.88,692.7419355
200 BR,2020,111.13,115.24,118,119.26,113.76,-2.433090024,-3.296703297,-6.349206349,302.3892944,400.010989,758.2063492
200 BR,2021,110.8,114.95,117.84,119.13,113.47,-2.409638554,-3.191489362,-6.201550388,298.9879518,387.0851064,739.7906977
200 BR,2022,110.47,114.67,117.68,118.93,113.19,-2.380952381,-3.092783505,-6.4,295.0238095,374.9587629,762.152
200 BR,2023,110.15,114.39,117.52,118.76,112.91,-2.358490566,-3.010033445,-6.451612903,291.7877358,364.7391304,767.1935484
200 BR,2024,109.82,114.11,117.36,118.57,112.63,-2.331002331,-2.922077922,-6.611570248,287.990676,353.9350649,784.9338843
200 BR,2025,109.49,113.83,117.21,118.39,112.35,-2.304147465,-2.830188679,-6.779661017,284.281106,342.7264151,803.6440678
200 BR,2026,109.17,113.55,117.05,118.21,112.07,-2.283105023,-2.760736196,-6.896551724,281.2465753,334.1441718,816.2413793
200 BR,2027,108.85,113.27,116.89,118.03,111.79,-2.262443439,-2.686567164,-7.01754386,278.2669683,325.0328358,829.2807018
100 FL,2020,44.76,45.8,46.47,47.1,45.76,-9.615384615,-13.63636364,-12.6984127,462.3846154,644.6818182,599.0952381
100 FL,2021,44.6,45.61,46.29,46.92,45.62,-9.900990099,-13.63636364,-12.6984127,473.5841584,642.2272727,596.8095238
100 FL,2022,44.43,45.42,46.1,46.78,45.48,-10.1010101,-13.84615385,-11.76470588,480.7878788,649.3076923,551.3529412
100 FL,2023,44.27,45.24,45.91,46.63,45.35,-10.30927835,-14.0625,-11.11111111,488.3917526,656.609375,519.1111111
100 FL,2024,44.11,45.05,45.73,46.49,45.21,-10.63829787,-14.0625,-10.52631579,501.2553191,654.078125,490.3684211
100 FL,2025,43.94,44.87,45.54,46.35,45.07,-10.75268817,-14.28571429,-9.87654321,504.4731183,661.5714286,458.7777778
100 FL,2026,43.78,44.68,45.36,46.2,44.94,-11.11111111,-14.51612903,-9.523809524,518.4444444,669.4516129,441
100 FL,2027,43.62,44.5,45.18,46.06,44.8,-11.36363636,-14.51612903,-9.090909091,527.6818182,666.8387097,419.7272727
200 FL,2020,100.4,102.98,103.87,106.11,102.06,-3.875968992,-9.89010989,-3.571428571,421.1472868,1038.285714,379.9642857
200 FL,2021,100.1,102.57,103.39,105.39,101.77,-4.048582996,-10.34482759,-4,437.2631579,1080.551724,422.56
200 FL,2022,99.8,102.16,102.92,105.06,101.48,-4.237288136,-10.84337349,-3.738317757,454.8813559,1127,393.7476636
200 FL,2023,99.5,101.76,102.45,104.6,101.19,-4.424778761,-11.39240506,-3.720930233,472.2654867,1178.151899,390.2093023
200 FL,2024,99.2,101.35,101.98,104.19,100.9,-4.651162791,-12.16216216,-3.619909502,493.3953488,1251.297297,378.158371
200 FL,2025,98.91,100.95,101.51,103.76,100.62,-4.901960784,-12.85714286,-3.555555556,516.8529412,1316.128571,369.9244444
200 FL,2026,98.61,100.55,101.04,103.34,100.33,-5.154639175,-13.84615385,-3.47826087,540.2989691,1410.015385,360.4434783
200 FL,2027,98.32,100.15,100.58,102.92,100.05,-5.464480874,-14.75409836,-3.418803419,569.2677596,1494.967213,352.8632479
200 IM,2020,100.94,104.01,105.69,106.8,103.55,-3.25732899,-5.521472393,-7.207207207,360.7947883,594.5644172,770.7297297
200 IM,2021,100.61,103.68,105.41,106.62,103.28,-3.25732899,-5.521472393,-6.611570248,359.7198697,593.0184049,705.9256198
200 IM,2022,100.27,103.35,105.14,106.36,103.01,-3.246753247,-5.487804878,-6.557377049,357.5519481,587.9878049,698.442623
200 IM,2023,99.94,103.03,104.86,106.13,102.75,-3.236245955,-5.487804878,-6.299212598,355.4304207,586.4512195,669.5354331
200 IM,2024,99.6,102.7,104.59,105.88,102.48,-3.225806452,-5.487804878,-6.201550388,353.2903226,584.9695122,657.620155
200 IM,2025,99.27,102.38,104.31,105.64,102.21,-3.215434084,-5.487804878,-6.015037594,351.1961415,583.4329268,636.4285714
200 IM,2026,98.94,102.06,104.04,105.4,101.95,-3.205128205,-5.487804878,-5.882352941,349.1153846,581.9512195,621
200 IM,2027,98.61,101.73,103.77,105.16,101.68,-3.205128205,-5.454545455,-5.755395683,348.0576923,577.0181818,606.2374101
400 IM,2020,219.46,226.26,229.04,230.81,223.21,-1.470588235,-3.214285714,-4.519774011,354.7352941,747.2,1044.20904
400 IM,2021,218.99,225.64,228.37,229.94,222.78,-1.503759398,-3.237410072,-5.095541401,361.3082707,750.3273381,1172.66879
400 IM,2022,218.52,225.01,227.7,229.29,222.34,-1.540832049,-3.272727273,-5.031446541,368.7026194,756.2,1154.660377
400 IM,2023,218.05,224.39,227.03,228.57,221.91,-1.577287066,-3.308823529,-5.194805195,375.9274448,762.2022059,1188.376623
400 IM,2024,217.59,223.77,226.36,227.88,221.48,-1.618122977,-3.345724907,-5.263157895,384.0873786,768.33829,1200.368421
400 IM,2025,217.12,223.15,225.7,227.18,221.06,-1.658374793,-3.370786517,-5.405405405,392.066335,771.7865169,1229
400 IM,2026,216.66,222.54,225.03,226.49,220.63,-1.700680272,-3.409090909,-5.479452055,400.4693878,778.1477273,1242.041096
400 IM,2027,216.19,221.92,224.37,225.79,220.2,-1.745200698,-3.435114504,-5.633802817,409.2949389,781.7366412,1273.056338
400 FR,2020,251.57,257.04,260.27,262.37,255.59,-1.828153565,-2.743902439,-3.80952381,491.9085923,725.1554878,1000.504762
400 FR,2021,251.01,256.26,259.42,261.95,255.14,-1.904761905,-2.760736196,-3.162055336,510.1142857,727.190184,829.3003953
400 FR,2022,250.45,255.48,258.57,261.29,254.69,-1.988071571,-2.777777778,-2.941176471,529.9125249,729.25,769.5
400 FR,2023,249.89,254.7,257.73,260.7,254.25,-2.079002079,-2.786377709,-2.693602694,551.5218295,729.1331269,703.2222222
400 FR,2024,249.33,253.92,256.89,260.09,253.8,-2.178649237,-2.803738318,-2.5,575.2026144,731.2523364,651.225
400 FR,2025,248.78,253.15,256.05,259.5,253.36,-2.288329519,-2.821316614,-2.31884058,601.2906178,733.3981191,602.7391304
400 FR,2026,248.22,252.38,255.22,258.9,252.91,-2.403846154,-2.830188679,-2.173913043,628.6826923,733.3207547,563.826087
400 FR,2027,247.67,251.61,254.39,258.3,252.47,-2.538071066,-2.839116719,-2.046035806,660.6040609,733.2429022,529.4910486
1500 FR,2020,875.36,897.25,910.58,925.08,892.92,-0.456829603,-0.678733032,-0.551724138,431.8903609,629.040724,511.3889655
1500 FR,2021,873.22,894.99,908.56,924.84,891.2,-0.459347726,-0.670640835,-0.491400491,433.1116215,620.3174367,455.4668305
1500 FR,2022,871.09,892.74,906.54,923.15,889.48,-0.461893764,-0.663227708,-0.481637568,434.3510393,612.2424466,445.6237207
1500 FR,2023,868.96,890.5,904.53,921.95,887.76,-0.464252553,-0.655498908,-0.45924225,435.4168988,603.9184268,424.3983927
1500 FR,2024,866.84,888.26,902.52,920.59,886.05,-0.466853408,-0.647948164,-0.442722745,436.6872082,595.7861771,408.5661317
1500 FR,2025,864.73,886.02,900.51,919.28,884.34,-0.469704086,-0.641025641,-0.42621204,438.1672147,588.25,392.8082046
1500 FR,2026,862.61,883.8,898.51,917.96,882.63,-0.471920717,-0.633802817,-0.411311054,439.08353,580.478169,378.5670951
1500 FR,2027,860.51,881.57,896.51,916.65,880.93,-0.474833808,-0.627615063,-0.397219464,440.5992403,573.6631799,365.1112214
800 FR,2020,875.36,897.25,910.58,925.08,892.92,-0.456829603,-0.678733032,-0.551724138,431.8903609,629.040724,511.3889655
800 FR,2021,873.22,894.99,908.56,924.84,891.2,-0.459347726,-0.670640835,-0.491400491,433.1116215,620.3174367,455.4668305
800 FR,2022,871.09,892.74,906.54,923.15,889.48,-0.461893764,-0.663227708,-0.481637568,434.3510393,612.2424466,445.6237207
800 FR,2023,868.96,890.5,904.53,921.95,887.76,-0.464252553,-0.655498908,-0.45924225,435.4168988,603.9184268,424.3983927
800 FR,2024,866.84,888.26,902.52,920.59,886.05,-0.466853408,-0.647948164,-0.442722745,436.6872082,595.7861771,408.5661317
800 FR,2025,864.73,886.02,900.51,919.28,884.34,-0.469704086,-0.641025641,-0.42621204,438.1672147,588.25,392.8082046
800 FR,2026,862.61,883.8,898.51,917.96,882.63,-0.471920717,-0.633802817,-0.411311054,439.08353,580.478169,378.5670951
800 FR,2027,860.51,881.57,896.51,916.65,880.93,-0.474833808,-0.627615063,-0.397219464,440.5992403,573.6631799,365.1112214
1000 FR,2020,875.36,897.25,910.58,925.08,892.92,-0.456829603,-0.678733032,-0.551724138,431.8903609,629.040724,511.3889655
1000 FR,2021,873.22,894.99,908.56,924.84,891.2,-0.459347726,-0.670640835,-0.491400491,433.1116215,620.3174367,455.4668305
1000 FR,2022,871.09,892.74,906.54,923.15,889.48,-0.461893764,-0.663227708,-0.481637568,434.3510393,612.2424466,445.6237207
1000 FR,2023,868.96,890.5,904.53,921.95,887.76,-0.464252553,-0.655498908,-0.45924225,435.4168988,603.9184268,424.3983927
1000 FR,2024,866.84,888.26,902.52,920.59,886.05,-0.466853408,-0.647948164,-0.442722745,436.6872082,595.7861771,408.5661317
1000 FR,2025,864.73,886.02,900.51,919.28,884.34,-0.469704086,-0.641025641,-0.42621204,438.1672147,588.25,392.8082046
1000 FR,2026,862.61,883.8,898.51,917.96,882.63,-0.471920717,-0.633802817,-0.411311054,439.08353,580.478169,378.5670951
1000 FR,2027,860.51,881.57,896.51,916.65,880.93,-0.474833808,-0.627615063,-0.397219464,440.5992403,573.6631799,365.1112214
